City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
124,Pacific Grove,US,36.6177,-121.9166,13.0,71,75,4.63,broken clouds
125,Bathsheba,BB,13.2167,-59.5167,26.0,61,75,8.23,broken clouds
126,Belmonte,BR,-15.8631,-38.8828,25.0,94,75,1.54,light rain
127,Richards Bay,ZA,-28.783,32.0377,22.19,80,100,7.76,light rain
128,Port Elizabeth,ZA,-33.918,25.5701,13.0,88,0,2.06,clear sky
129,Martapura,ID,-3.4167,114.85,28.0,89,20,1.03,few clouds
130,Bitam,GA,2.076,11.5007,20.72,97,100,1.26,overcast clouds
131,Saint-Georges,GD,12.0564,-61.7485,27.0,74,20,8.23,few clouds
132,Comodoro Rivadavia,AR,-45.8667,-67.5,13.0,88,0,3.5,clear sky
133,Hamilton,US,39.1834,-84.5333,5.0,45,1,0.68,clear sky
134,Bedford,GB,52.1346,-0.4663,4.44,90,13,1.34,few clouds
135,Keti Bandar,PK,24.1447,67.4497,26.64,72,0,4.6,clear sky
136,Smolensk,RU,55.0,33.0,-1.58,94,36,1.58,scattered clouds
137,Gold Coast,AU,-28.0,153.4333,24.44,69,75,7.2,broken clouds
138,Bozova,TR,37.3625,38.5267,5.0,93,40,5.14,scattered clouds
139,Mount Isa,AU,-20.7333,139.5,29.0,30,40,6.69,scattered clouds
140,Grand Gaube,MU,-20.0064,57.6608,26.11,82,27,1.79,scattered clouds
141,Castro,BR,-24.7911,-50.0119,12.98,87,0,2.06,clear sky
142,Havoysund,NO,70.9963,24.6622,1.0,100,75,4.63,moderate rain
143,Suhbaatar,MN,50.2314,106.2078,2.39,45,0,3.2,clear sky
144,Inhambane,MZ,-23.865,35.3833,21.43,80,0,2.4,clear sky
145,Dabat,ET,12.9842,37.765,14.17,62,14,1.79,few clouds
146,Amga,RU,60.8953,131.9608,-14.98,79,100,3.6,overcast clouds
147,Saint-Philippe,RE,-21.3585,55.7679,25.0,94,90,9.77,light rain
148,Mount Pleasant,US,32.7941,-79.8626,8.89,70,20,4.54,few clouds
149,Saint-Gaudens,FR,43.0833,0.6667,11.67,93,75,3.6,broken clouds
150,Manacapuru,BR,-3.2997,-60.6206,25.0,94,0,1.54,clear sky
151,Nador,MA,35.174,-2.9287,16.0,59,0,3.09,clear sky
152,Lokosovo,RU,61.1333,74.8167,0.21,92,100,4.98,overcast clouds
153,Santa Maria,BR,-29.6842,-53.8069,20.0,83,0,4.12,clear sky
154,Tessalit,ML,20.1986,1.0114,23.97,8,6,4.54,clear sky
155,Broken Hill,AU,-31.95,141.4333,26.0,36,0,4.12,clear sky
156,Lompoc,US,34.6391,-120.4579,14.0,72,1,5.66,clear sky
157,Sao Filipe,CV,14.8961,-24.4956,23.11,70,77,4.61,broken clouds
158,Upernavik,GL,72.7868,-56.1549,-26.27,99,100,2.93,overcast clouds
159,Qasigiannguit,GL,68.8193,-51.1922,-14.0,72,75,4.12,broken clouds
160,Cayenne,GF,4.9333,-52.3333,24.0,94,75,1.03,moderate rain
161,Aasiaat,GL,68.7098,-52.8699,-16.45,73,0,7.95,clear sky
162,Bethel,US,41.3712,-73.414,0.0,57,68,2.63,broken clouds
163,Shelburne,CA,44.0787,-80.2041,-1.11,58,10,3.72,clear sky
164,Dobroye,RU,52.8678,39.8109,0.93,98,100,3.88,snow
165,Melchor De Mencos,GT,17.0686,-89.1522,26.0,69,40,2.06,scattered clouds
166,Barda,AZ,40.3744,47.1267,10.82,63,100,2.63,overcast clouds
167,Victoria,HK,22.2855,114.1577,27.78,76,1,0.45,clear sky
168,Aklavik,CA,68.2191,-135.0107,-19.0,60,75,4.07,broken clouds
169,Saint-Augustin,CA,51.226,-58.6502,1.76,99,100,3.25,light rain
170,Cheney,US,47.4874,-117.5758,16.0,23,1,4.63,clear sky
171,Lukovetskiy,RU,64.2956,41.9211,-2.0,100,75,1.0,broken clouds
172,Graaff-Reinet,ZA,-32.2522,24.5308,12.22,94,33,0.45,scattered clouds
173,Khuzdar,PK,27.7384,66.6434,18.71,21,4,2.34,clear sky
174,Thompson,CA,55.7435,-97.8558,7.0,45,20,7.72,few clouds
175,Flin Flon,CA,54.7682,-101.865,1.48,79,8,4.18,clear sky
176,Santo Augusto,BR,-27.8508,-53.7772,20.59,51,97,2.59,overcast clouds
177,Mwaya,TZ,-9.55,33.95,22.6,85,100,0.9,light rain
178,Ukiah,US,39.1502,-123.2078,24.0,27,1,5.14,clear sky
179,Olafsvik,IS,64.8945,-23.7142,5.4,93,100,10.29,overcast clouds
180,Bengkulu,ID,-3.8004,102.2655,25.35,85,100,2.74,overcast clouds
181,Klaksvik,FO,62.2266,-6.589,6.0,93,75,6.69,broken clouds
182,Makarov,RU,48.6333,142.8,4.65,75,100,6.82,overcast clouds
183,Khatanga,RU,71.9667,102.5,-28.81,91,5,2.02,clear sky
184,Port Alfred,ZA,-33.5906,26.891,15.46,87,27,4.58,scattered clouds
185,Arkhara,RU,49.4212,130.0842,-0.2,35,6,10.44,clear sky
186,Gubbi,IN,13.3106,76.9444,20.45,66,98,2.91,overcast clouds
187,Cidreira,BR,-30.1811,-50.2056,20.83,80,78,5.7,broken clouds
188,Iqaluit,CA,63.7506,-68.5145,-22.0,64,1,2.06,clear sky
189,Sarh,TD,9.1429,18.3923,28.0,24,0,3.09,clear sky
190,Chifeng,CN,42.2683,118.9636,5.36,21,74,8.43,broken clouds
191,Itarema,BR,-2.9248,-39.9167,26.58,81,7,5.28,clear sky
192,Ponnani,IN,10.767,75.9252,26.0,78,40,2.96,mist
193,Chimbote,PE,-9.0853,-78.5783,20.67,85,53,3.48,broken clouds
194,Sitka,US,57.0531,-135.33,2.0,93,90,5.14,snow
195,Xinzhou,CN,38.4092,112.7333,8.71,42,99,5.16,overcast clouds
196,Ayagoz,KZ,47.9714,80.4392,-0.1,68,1,3.58,clear sky
197,Nanortalik,GL,60.1432,-45.2371,2.04,98,100,0.44,overcast clouds
198,Nabire,ID,-3.3667,135.4833,25.7,92,100,1.83,light rain
199,Noumea,NC,-22.2763,166.4572,25.56,94,90,2.06,moderate rain
200,Skjervoy,NO,70.0311,20.9714,1.94,70,100,12.47,overcast clouds
201,Mogadishu,SO,2.0371,45.3438,27.39,78,13,4.2,few clouds
202,Vuktyl,RU,63.8567,57.3094,-7.59,99,73,1.46,broken clouds
203,Lermontovka,RU,47.1453,134.3383,7.44,56,99,7.27,overcast clouds
204,Hay River,CA,60.8156,-115.7999,-11.0,52,100,1.54,overcast clouds
205,Hitiaa,PF,-17.6,-149.3,28.89,78,75,2.06,light rain
206,Poum,NC,-20.2333,164.0167,26.03,84,99,3.06,light rain
207,Three Hills,CA,51.7001,-113.2686,11.0,24,100,5.14,overcast clouds
208,Barentu,ER,15.1139,37.5928,22.24,56,2,2.31,clear sky
209,Cabo San Lucas,MX,22.8909,-109.9124,27.22,32,40,2.57,scattered clouds
210,Akyab,MM,20.15,92.9,25.6,83,7,2.77,clear sky
211,Cape Canaveral,US,28.4058,-80.6048,14.0,62,40,6.69,scattered clouds
212,Saint George,US,37.1041,-113.5841,28.0,11,1,3.09,clear sky
213,Abaete,BR,-19.16,-45.4458,22.58,62,88,1.99,overcast clouds
214,Eureka,US,40.8021,-124.1637,14.44,66,100,1.34,overcast clouds
215,Zhicheng,CN,30.2956,111.5047,10.56,96,100,1.57,overcast clouds
216,Gizo,SB,-8.103,156.8419,29.8,66,63,2.54,broken clouds
217,Sattahip,TH,12.6664,100.9007,31.67,89,20,2.06,few clouds
218,Begusarai,IN,25.4167,86.1333,24.27,8,0,1.04,clear sky
219,Chuy,UY,-33.6971,-53.4616,17.22,80,2,2.8,clear sky
220,Kyaukse,MM,21.6,96.1333,20.0,56,20,1.03,haze
221,Manoel Urbano,BR,-8.8389,-69.2597,23.17,98,100,0.72,light rain
222,Livingstone,ZM,-17.8419,25.8543,16.46,70,27,1.6,scattered clouds
223,Kalakamati,BW,-20.5929,27.3121,17.33,55,0,3.11,clear sky
224,Kamenka,RU,51.3223,42.7678,4.44,76,74,4.2,broken clouds
225,Gari,RU,59.4307,62.3497,0.15,98,100,2.81,light snow
226,Namatanai,PG,-3.6667,152.4333,30.41,63,40,2.46,scattered clouds
227,Kudahuvadhoo,MV,2.6708,72.8944,28.15,76,27,6.49,scattered clouds
228,Guerrero Negro,MX,27.9769,-114.0611,17.06,70,0,9.01,clear sky
229,Guangyuan,CN,32.442,105.823,5.56,98,100,5.36,overcast clouds
230,Codrington,AU,-38.2667,141.9667,29.16,24,0,7.73,clear sky
231,Kavaratti,IN,10.5669,72.642,28.23,60,100,5.68,overcast clouds
232,Kieta,PG,-6.2167,155.6333,29.6,68,100,1.51,overcast clouds
233,Prado,BR,-17.3411,-39.2208,24.8,87,32,2.72,scattered clouds
234,Amazar,RU,53.858,120.875,-3.43,34,2,2.39,clear sky
235,Muros,ES,42.7762,-9.0603,11.67,90,57,2.78,broken clouds
236,Missoula,US,47.0166,-113.8009,17.0,20,1,3.6,clear sky
237,Yenagoa,NG,4.9247,6.2642,26.2,86,94,1.76,overcast clouds
238,Fairbanks,US,64.8378,-147.7164,-9.44,57,20,1.2,few clouds
239,Mwingi,KE,-0.9344,38.0601,19.07,93,19,2.05,light rain
240,Miramar,US,25.9873,-80.2323,20.0,52,75,5.66,broken clouds
241,Porto Novo,BJ,6.4965,2.6036,26.48,86,5,2.61,clear sky
242,Bandarbeyla,SO,9.4942,50.8122,24.56,79,45,1.97,scattered clouds
243,Pechenga,RU,69.5259,31.1703,-6.0,93,75,2.06,broken clouds
244,Kabanjahe,ID,3.1001,98.4908,26.0,100,40,1.03,haze
245,Zhanaozen,KZ,43.3,52.8,5.8,91,3,4.6,clear sky
246,Whitley Bay,GB,55.0397,-1.4471,6.11,87,90,3.6,overcast clouds
247,Dalbandin,PK,28.8947,64.4101,20.83,20,0,1.14,clear sky
248,Turukhansk,RU,65.8167,87.9833,-13.1,92,100,5.28,light snow
249,Torbay,CA,47.6666,-52.7314,4.0,100,90,4.63,overcast clouds
250,Bay Roberts,CA,47.5999,-53.2648,5.56,100,90,4.63,overcast clouds
251,Surt,LY,31.2089,16.5887,19.11,39,0,6.0,clear sky
252,Eyl,SO,7.9803,49.8164,24.84,77,10,1.22,clear sky
253,Ust-Nera,RU,64.5667,143.2,-11.54,88,98,1.66,overcast clouds
254,Muisne,EC,0.6,-80.0333,25.28,85,100,2.98,overcast clouds
255,Goure,NE,13.9835,10.2704,20.42,12,6,5.16,clear sky
256,San Cristobal,VE,7.7669,-72.225,26.0,73,75,1.03,broken clouds
257,Tazovskiy,RU,67.4667,78.7,-11.19,94,100,5.0,overcast clouds
258,Urcos,PE,-13.6861,-71.6228,14.0,54,75,1.54,broken clouds
259,Hobyo,SO,5.3505,48.5268,27.61,76,42,4.37,scattered clouds
260,Komsomolskiy,UZ,40.4272,71.7189,1.0,69,0,3.09,clear sky
261,Husavik,IS,66.0449,-17.3389,7.0,49,0,8.23,clear sky
262,Gander,CA,48.9682,-54.5906,7.0,81,40,6.69,scattered clouds
263,Pangai,TO,-19.8,-174.35,30.0,74,75,2.57,broken clouds
264,Puerto Escondido,MX,15.85,-97.0667,29.0,74,1,4.12,clear sky
265,Emerald,AU,-23.5333,148.1667,26.11,50,75,7.72,broken clouds
266,Odweyne,SO,9.4092,45.064,20.68,46,5,0.35,clear sky
267,Kaseda,JP,31.4167,130.3167,18.0,88,75,6.17,broken clouds
268,Lamu,KE,-2.2717,40.902,28.0,83,20,3.6,few clouds
269,Taltal,CL,-25.4,-70.4833,18.63,81,47,1.35,scattered clouds
270,Lavrentiya,RU,65.5833,-171.0,-13.49,78,100,5.77,overcast clouds
271,Wenling,CN,28.3669,121.36,20.0,94,100,1.49,overcast clouds
272,Udachnyy,RU,66.4167,112.4,-25.65,94,91,2.02,overcast clouds
273,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,2.0,41,2,7.0,clear sky
274,Santo Antonio Do Ica,BR,-3.1022,-67.9397,23.09,97,100,0.55,overcast clouds
275,Techiman,GH,7.5862,-1.9414,24.2,69,83,2.34,broken clouds
276,Vila,PT,42.0304,-8.1588,11.11,94,96,1.67,overcast clouds
277,Saldanha,ZA,-33.0117,17.9442,15.0,67,100,0.51,overcast clouds
278,Tuatapere,NZ,-46.1333,167.6833,13.89,67,100,3.58,overcast clouds
279,Vila Velha,BR,-20.3297,-40.2925,23.0,94,75,2.06,broken clouds
280,Havelock,US,34.8791,-76.9013,7.0,33,1,5.14,clear sky
281,Lanivtsi,UA,49.8633,26.0908,2.18,69,79,1.5,broken clouds
282,Kavieng,PG,-2.5744,150.7967,29.22,73,100,4.16,light rain
283,Urazovka,RU,55.4013,45.6186,1.39,94,100,1.7,overcast clouds
284,Marathon,US,44.9,-89.7668,8.0,31,1,5.14,clear sky
285,Birjand,IR,32.8663,59.2211,15.0,18,0,3.09,clear sky
286,Kahului,US,20.8947,-156.47,27.0,57,40,8.23,scattered clouds
287,Darab,IR,28.7519,54.5444,20.22,29,0,0.83,clear sky
288,Atar,MR,20.5169,-13.0499,30.49,8,100,1.71,overcast clouds
289,Isangel,VU,-19.55,169.2667,30.0,84,90,1.8,moderate rain
290,Haines Junction,CA,60.7522,-137.5108,-1.0,37,100,3.6,overcast clouds
291,Pokhara,NP,28.2333,83.9833,17.74,14,0,3.51,clear sky
292,Biak,ID,-0.9131,122.8766,28.77,64,56,0.19,broken clouds
293,Kota Kinabalu,MY,5.9749,116.0724,28.0,69,20,1.54,few clouds
294,Kruisfontein,ZA,-34.0033,24.7314,13.33,92,0,0.45,clear sky
295,Nyuksenitsa,RU,60.4128,44.2397,-5.4,98,80,0.32,broken clouds
296,Sept-Iles,CA,50.2001,-66.3821,-1.67,80,90,3.09,overcast clouds
297,Katsuura,JP,35.1333,140.3,19.44,63,75,2.06,broken clouds
298,Santa Cruz De La Palma,ES,28.6835,-17.7642,19.0,72,75,6.17,broken clouds
299,Constitucion,CL,-35.3333,-72.4167,13.33,81,0,5.46,clear sky
300,Gambela,ET,8.25,34.5833,26.3,49,28,1.43,scattered clouds
301,Kasane,BW,-17.8167,25.15,16.39,63,85,2.12,overcast clouds
302,Faya,SA,18.3851,42.4509,17.0,72,0,0.94,clear sky
303,Anloga,GH,5.7947,0.8973,28.0,89,20,4.12,few clouds
304,Bang Saphan,TH,11.2126,99.5117,25.0,94,20,0.51,few clouds
305,Lazaro Cardenas,MX,17.9583,-102.2,26.01,68,2,1.87,clear sky
306,Qui Nhon,VN,13.7667,109.2333,27.38,79,80,2.1,broken clouds
307,Kokoda,PG,-8.8785,147.7407,28.46,74,98,1.72,overcast clouds
308,Bousse,BF,12.6606,-1.8922,28.0,14,0,3.09,clear sky
309,Praia,CV,14.9215,-23.5087,25.0,33,0,9.77,clear sky
310,Gamba,GA,-2.65,10.0,25.27,89,100,2.13,moderate rain
311,Tual,ID,-5.6667,132.75,27.43,77,100,2.99,heavy intensity rain
312,Batemans Bay,AU,-35.7167,150.1833,24.44,61,0,0.45,clear sky
313,Tarakan,ID,3.3,117.6333,26.48,84,100,2.21,overcast clouds
314,Jatai,BR,-17.8814,-51.7144,20.03,82,11,0.98,few clouds
315,Ilulissat,GL,69.2167,-51.1,-14.0,72,75,4.12,broken clouds
316,Gurupa,BR,-1.405,-51.64,23.01,97,100,0.98,moderate rain
317,Vao,NC,-22.6667,167.4833,23.81,88,100,13.17,moderate rain
318,Puksoozero,RU,62.5903,40.6066,-3.27,98,100,0.36,overcast clouds
319,Skibbereen,IE,51.55,-9.2667,5.0,81,20,1.03,few clouds
320,Latung,PH,5.5,120.8833,27.91,79,100,3.33,overcast clouds
321,Gemena,CD,3.25,19.7667,23.13,85,100,1.98,overcast clouds
322,Te Anau,NZ,-45.4167,167.7167,15.04,46,100,3.17,overcast clouds
323,Alice Springs,AU,-23.7,133.8833,26.0,34,0,2.06,clear sky
324,Mecca,SA,21.4267,39.8261,21.39,41,98,3.83,overcast clouds
325,Narsaq,GL,60.9167,-46.05,2.0,87,90,0.51,light rain
326,Yasnogorsk,RU,54.4803,37.6975,-0.73,87,97,1.68,overcast clouds
327,Honiara,SB,-9.4333,159.95,31.26,61,27,2.56,scattered clouds
328,Ponta Delgada,PT,37.7333,-25.6667,16.0,94,75,8.23,broken clouds
329,Xinyu,CN,27.8043,114.9334,15.82,91,100,1.46,overcast clouds
330,Ugoofaaru,MV,5.6667,73.0,28.53,72,5,5.51,clear sky
331,Bubaque,GW,11.2833,-15.8333,24.35,80,8,6.24,clear sky
332,Barrie,CA,44.4001,-79.6663,-0.56,40,10,5.14,clear sky
333,Magadan,RU,59.5667,150.8,-6.36,53,20,1.87,few clouds
334,Camacha,PT,33.0833,-16.3333,16.0,67,75,3.6,broken clouds
335,Kemijarvi,FI,66.7131,27.4306,-5.95,97,56,0.92,broken clouds
336,Gao,ML,16.6362,1.637,23.84,7,4,4.56,clear sky
337,Rio Formoso,BR,-8.6636,-35.1586,26.0,69,40,2.57,scattered clouds
338,Almenara,BR,-16.1836,-40.6944,22.94,95,100,0.63,light rain
339,Jinxiang,CN,27.4327,120.6062,18.44,91,99,1.37,light rain
340,Vestmanna,FO,62.1564,-7.1664,6.0,93,75,6.69,broken clouds
341,Brae,GB,60.3964,-1.353,5.0,70,75,3.6,broken clouds
342,Redlands,US,34.0556,-117.1825,27.0,21,1,2.57,haze
343,Newport,GB,51.5877,-2.9984,4.44,75,5,3.6,clear sky
344,Ngaglik,ID,-6.84,111.3671,27.11,82,35,1.21,scattered clouds
345,Independencia,BR,-5.3964,-40.3086,22.7,68,5,1.57,clear sky
346,Tabou,CI,4.423,-7.3528,26.04,90,92,2.76,overcast clouds
347,Severo-Kurilsk,RU,50.6789,156.125,-0.27,80,40,3.86,scattered clouds
348,Jackson,US,42.4165,-122.8345,23.0,20,1,4.63,clear sky
